S.NO,Sampling Location,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
35," Mee-Seva, Warangal ",49.2,51.1,38.1,38.0,39.3,32.2,44.9,45.0,40.7,38.1,53.5,35.2
39," DIC building, Karimnagar",52.5,56.3,49.3,38.0,45.2,37.1,48.1,43.0,43.3,38.9,64.8,45.6
41,"Jalasouda, Khammam ",49.1,49.0,45.0,20.0,47.1,37.2,45.1,26.0,38.6,39.9,49.7,38.6
32,"Subhasnagar,  Nizamabad",27.3,26.6,23.7,22.8,28.84,24.1,25.8,22.2,24.8,24.7,25.9,26.4
33," Mandamarri, Adilabad",27.6,26.6,22.2,15.8,23.14,24.2,24.0,21.5,23.7,23.8,23.8,23.58
