S.NO,Sampling Location,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
35," Mee-Seva, Warangal ",6.0,6.2,5.9,6.0,6.8,7.1,8.6,7.0,7.2,7.2,6.8,7.4
39," DIC building, Karimnagar",6.1,6.4,6.5,7.0,7.8,8.4,9.0,8.0,7.7,7.8,7.0,8.0
41,"Jalasouda, Khammam ",6.0,6.4,6.1,6.0,6.5,8.3,7.9,8.0,7.1,7.4,6.3,7.4
32, Nizamabad,5.5,5.5,5.76,5.9,5.5,4.9,5.2,4.7,5.4,5.2,6.1,6.0
33,Adilabad,5.8,5.6,4.7,2.0,,4.7,5.5,4.6,5.3,5.3,,
