S.NO,Station Name,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
34," Mee-Seva, Warangal ",89,88,74,26,58,56,48,49,39,54,93,93
38," DIC building, Karimnagar",116,121,115,33,72,55,124,70,99,156,120,114
40,"Jalasouda, Khammam ",88,84,83,80,54,43,43,33,37,49,82,98
31,"Subhasnagar,  Nizamabad",60,60,,,,52,63,60,60,62,62,71
32," Mandamarri, Adilabad",78,82,71,52,,75,74,72,72,72,,
