S.NO,Sampling Location,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17
26," Mee-Seva, Warangal ",25.0,27.0,27.0,28.0,27.0,23.6,26.0,22.0,20.0,24.0,27.0,27.3
30," DIC building, Karimnagar",25.0,31.0,26.0,26.0,27.0,22.0,27.0,26.0,22.0,32.0,22.0,26.7
32,Jalasouda ,27.0,26.0,28.0,27.0,27.0,24.0,22.0,23.0,22.0,19.0,20.0,26.3
41,Subhasnagar/  Nizamabad,20.0,20.0,21.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,22.0
42,Adilabad/ Mandamarri,21.0,21.0,20.0,20.0,19.0,20.0,21.0,21.0,21.0,22.0,21.0,21.0
