S.NO,Sampling Location,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17
26," Mee-Seva, Warangal ",8.0,8.0,8.0,8.0,8.0,7.1,6.0,6.0,6.0,9.0,7.0,7.2
30," DIC building, Karimnagar",7.0,7.0,8.0,8.0,7.0,6.6,7.0,6.0,7.0,8.0,7.0,7.7
32,Jalasouda ,7.0,8.0,8.0,8.0,8.0,7.4,7.0,6.0,7.0,7.0,7.0,7.7
41,Subhasnagar/  Nizamabad,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
42,Adilabad/ Mandamarri,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0
