S.NO,Station Name,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17
25,"Mee-Seva, Warangal ",76,79,71,72,68,61,41,58,54,62,76,78
29,"DIC building, Karimnagar",84,75,86,79,82,59,51,56,62,69,91,90
31,Jalasouda ,60,64,54,54,57,42,38,64,50,63,54,60
40,Subhasnagar/  Nizamabad,61,62,63,67,68,63,57,59,60,59,59,59
41,Adilabad/ Mandamarri,64,64,68,69,71,66,61,61,61,62,63,64
