S.NO,Sampling Location,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
26," Mee-Seva, Warangal ",7.0,7.0,7.1,8.2,8.5,8.7,36.1,8.6,8.6,9.1,9.6,9.5
30," DIC building, Karimnagar",7.9,6.5,7.4,8.7,8.8,9.1,8.7,7.6,9.1,9.0,9.5,9.3
32,Jalasouda ,8.1,,7.2,8.6,8.5,8.8,8.6,8.7,8.9,9.1,9.7,9.6
41,Subhasnagar/  Nizamabad,6.0,6.0,5.9,5.9,5.9,5.9,5.7,5.6,5.8,6.2,5.6,5.7
42,Adilabad/ Mandamarri,6.1,6.2,6.0,6.0,5.9,5.8,5.9,5.7,5.7,5.9,6.3,5.7
