S.NO,Sampling Location,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
26," Mee-Seva, Warangal ",28.5,39.1,32.0,36.3,41.2,38.2,38.8,35.7,38.0,38.6,46.7,42.1
30," DIC building, Karimnagar",38.5,45.8,36.3,40.0,41.9,39.0,33.6,38.9,40.2,34.0,44.2,40.2
32,Jalasouda ,28,38.6,31.6,36.0,40.1,37.9,36.8,36.4,38.7,37.9,44.3,41.8
41,Subhasnagar/  Nizamabad,22.4,22.4,22.2,21.8,22.6,22.3,22.5,22.4,23.1,23.6,25.0,24.6
42,Adilabad/ Mandamarri,21.3,21.5,21.3,22.1,22.4,22.4,22.4,22.4,23.9,25.8,26.8,24.9
