S.NO,Station Name,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
25,"Mee-Seva, Warangal ",97,98,80,82,81,84,70,73,80,89,96,88
29,"DIC building, Karimnagar",117,88,89,102,100,101,89,91,101,98,110,100
31,Jalasouda ,67,66,71,77,77,83,75,79,84,85,92,88
40,Subhasnagar/  Nizamabad,61,61,66,70,47,64,59,60,64,48,56,62
41,Adilabad/ Mandamarri,66,67,70,74,74,69,64,64,61,67,71,81
