S.NO,Sampling Location,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
44," Mee-Seva, Warangal ",31.8,31.0,33.1,34.2,34.2,34.7,30.2,26.6,29.9,32.2,35.0,32.6
48," DIC building, Karimnagar",30.3,27.9,26.7,28.4,26.8,32.0,29.3,27.4,29.9,30.6,26.1,32.7
50,"Jalasouda, Khammam ",29.8,30.7,51.5,44.6,41.0,45.4,45.6,41.5,31.2,30.9,30.0,29.1
41,"Subhasnagar,  Nizamabad",25.5,27.5,26.1,24.0,24.6,23.4,21.3,23.3,25.0,27.4,25.0,22.6
42," Mandamarri, Adilabad",23.675,23.38,25.6,28.2,26.5,25.0,23.1,26.2,27.5,29.3,26.4,25.3
