S.NO,Sampling Location,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
44," Mee-Seva, Warangal ",7.1,8.4,8.0,7.6,7.8,7.5,7.2,6.5,7.1,7.9,7.6,8.3
48," DIC building, Karimnagar",7.8,6.4,6.8,8.0,6.3,6.4,7.0,6.0,6.7,6.7,6.2,6.2
50,"Jalasouda, Khammam ",6.8,7.6,7.8,7.3,7.1,7.4,7.4,7.4,7.0,7.4,8.0,7.1
41,"Subhasnagar,  Nizamabad",6.9,7.5,6.6,7.8,7.3,6.0,5.5,6.7,7.9,8.6,6.8,7.5
42," Mandamarri, Adilabad",6,,8.2,9.5,7.9,8.6,6.8,8.5,9.7,10.9,7.5,9.5
