S.NO,Station Name,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
43," Mee-Seva, Warangal ",73,73,76,60,77,85,47,56,48,63,95,95
47," DIC building, Karimnagar",82,92,99,70,78,92,69,55,58,62,103,139
49,"Jalasouda, Khammam ",80,78,76,78,77,81,73,56,41,57,78,112
40,"Subhasnagar,  Nizamabad",56,59,64,58,56,52,46,52,51,61,56,60
41," Mandamarri, Adilabad",,,56,65,60,57,48,56,54,62,58,62
