S.NO,Station Name,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
25," Mee-Seva, Warangal ",91,91,92,89,93,86,87,80,73,85,91,87
29," DIC building, Karimnagar",107,103,105,113,105,100,100,102,97,104,107,119
31,"Jalasouda, Khammam ",95,90,91,90,88,81,77,84,78,86,85,84
40,"Subhasnagar,  Nizamabad",64,61,61,62,64,64,64,65,61,64,62,63
41," Mandamarri, Adilabad",74,75,76,77,80,75,76,77,57,72,75,73
