S.NO,Sampling Location,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
26," Mee-Seva, Warangal ",54.5,56.0,54.6,54.0,55.2,47.6,45.8,47.3,46.9,48.4,50.9,50.5
30," DIC building, Karimnagar",54.4,58.4,57.8,61.2,58.9,50.5,47.8,51.8,51.2,50.1,52.4,56.2
32,"Jalasouda, Khammam ",55.1,57.8,54.6,54.8,53.6,46.9,49.8,48.5,49.7,50.8,52.0,48.9
41,"Subhasnagar,  Nizamabad",24.3,24.9,24.4,23.4,25.0,26.0,25.6,24.4,23.5,25.2,24.7,25.9
42," Mandamarri, Adilabad",24.8,24.8,24.5,24.3,24.8,25.7,26.0,24.3,23.5,24.9,24.6,25.7
