S.NO,Sampling Location,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
26," Mee-Seva, Warangal ",10.3,10.1,10.2,10.1,9.5,8.6,8.5,8.4,7.9,7.4,7.1,6.6
30," DIC building, Karimnagar",10.7,10.7,10.4,10.4,10.2,9.1,9.1,8.5,8.0,7.4,7.1,6.8
32,"Jalasouda, Khammam ",10.6,9.2,10.2,9.9,8.7,8.6,8.1,8.4,8.0,7.1,6.9,6.6
41,"Subhasnagar,  Nizamabad",5.5,5.6,5.6,5.6,5.5,5.7,5.4,4.8,4.4,4.8,4.6,5.4
42," Mandamarri, Adilabad",5.9,6.0,5.7,5.7,5.2,5.4,5.5,4.7,4.4,4.7,4.5,5.2
