S.NO,Sampling Location,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
36," Mee-Seva, Warangal ",42.2,47.4,36.3,34.0,32.0,30.8,28.7,32.7,31.2,32.5,34.3,31.0
40," DIC building, Karimnagar",56.6,47.0,41.7,40.7,42.4,39.7,32.4,32.4,34.7,35.3,34.2,30.9
42,"Jalasouda, Khammam ",47.0,38.0,36.2,27.6,37.96,34.1,35.9,35.9,34.0,31.0,37.6,41.8
33,"Subhasnagar,  Nizamabad",24.7,23.4,24.8,25.1,26.0,21.8,24.8,22.4,23.1,27.3,26.7,25.5
34," Mandamarri, Adilabad",23.675,23.0,25.2,25.4,23.0,22.05,22.08,22.4,22.93,24.63,23.76,23.58
