S.NO,Station Name,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
35," Mee-Seva, Warangal ",81,88,75,71,45,83,57,60,55,64,65,69
39," DIC building, Karimnagar",114,116,65,72,68,69,57,64,66,68,73,83
41,"Jalasouda, Khammam ",101,84,65,54,,90,69,67,85,61,86,78
32,"Subhasnagar,  Nizamabad",68,67,66,67,60,,54,45,43,59,66,57
33," Mandamarri, Adilabad",,62,73,74,67,,,,,,,
