S.NO,Sampling Location,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
36," Mee-Seva, Warangal ",6.4,6.9,7.7,8.9,8.5,8.0,5.8,6.8,7.3,8.1,8.3,7.3
40," DIC building, Karimnagar",7.1,7.1,8.2,8.2,8.3,7.9,6.6,6.9,6.7,7.2,6.8,7.9
42,"Jalasouda, Khammam ",6.8,6.8,7.7,7.9,,8.4,5.5,6.0,9.2,7.4,7.5,7.0
33,"Subhasnagar,  Nizamabad",5.8,5.1,5.7,5.3,6.0,,5.7,5.3,5.0,6.2,6.4,5.8
34," Mandamarri, Adilabad",5.7,5.1,6.6,6.1,6.0,,,,,,,
