S.NO,Station Name,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
24,"Mee-Seva, Warangal ",76,72,63,73,84,68,56,36,52,61,83,84
28,"DIC building, Karimnagar",69,59,42,62,52,47,23,33,29,50,69,83
30,Jalasouda ,46,51,54,51,47,47,41,37,39,48,55,60
39,Subhasnagar/  Nizamabad,67,64,66,68,71,61,57,58,56,64,60,62
40,Adilabad/ Mandamarri,62,68,71,70,69,66,60,61,58,67,63,65
