S.NO,Sampling Location,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
25," Mee-Seva, Warangal ",26.0,19.0,21.8,20.0,19.0,22.0,20.0,28.0,20.0,22.0,22.0,30.0
29," DIC building, Karimnagar",22.0,25.0,32.1,29.0,21.0,19.0,20.0,20.0,23.0,23.0,23.0,26.0
31,Jalasouda ,19.0,19.0,20.7,19.0,19.0,21.0,22.0,14.0,17.0,23.0,24.0,27.0
40,Subhasnagar/  Nizamabad,24.03,24.13,23.7,22.86,28.84,15.0,17.0,18.0,18.0,22.0,21.0,21.0
41,Adilabad/ Mandamarri,23.675,23.38,23.13,22.63,23.14,15.0,16.0,17.0,18.0,22.0,20.0,21.0
