S.NO,Sampling Location,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
24," Mee-Seva, Warangal ",7.0,7.0,7.1,7.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,8.0
28," DIC building, Karimnagar",8.0,9.0,7.7,7.0,5.0,5.0,4.0,6.0,6.0,6.0,7.0,7.0
30,Jalasouda ,6.0,7.0,6.1,8.0,7.0,5.0,8.0,5.0,8.0,7.0,7.0,8.0
39,Subhasnagar/  Nizamabad,5.78,5.7,5.8,5.9,5.94,4.0,4.0,5.0,5.0,6.0,5.0,5.0
40,Adilabad/ Mandamarri,5.7,,,,,4.0,4.0,4.0,5.0,5.0,5.0,5.0
